sex,age,education,education_level,base_income,education_effect,sex_education_bonus,income
Men,37,10.830235004226013,Secondary,300,216.60470008452026,100,642.751234844274
Women,32,11.344531195981688,Secondary,300,226.89062391963375,100,556.7196338416238
Men,41,9.127909566927368,Secondary,300,182.55819133854737,100,521.7362151066436
Men,44,2.7272479340478792,Primary,300,54.544958680957585,100,481.1680554509387
Women,69,9.553261919963623,Secondary,300,191.06523839927246,100,603.7644384182253
Women,37,7.271234496912166,Primary,300,145.42468993824332,100,457.378707227972
Men,42,4.6533198127892605,Primary,300,93.06639625578521,100,535.3177672638449
Women,34,7.52315361009094,Primary,300,150.46307220181882,100,589.5258507564938
Women,18,11.756950980656873,Secondary,300,235.13901961313746,100,639.7430101437744
Men,46,8.695503224359038,Secondary,300,173.91006448718076,100,595.43710393349
Men,40,10.119202878243577,Secondary,300,202.38405756487154,100,612.7392715441138
Men,50,6.314572447357039,Primary,300,126.29144894714076,100,576.4637674881313
Men,35,0,Primary,300,0,100,478.05913682807653
Men,56,9.026070981375407,Secondary,300,180.52141962750812,100,589.183348933013
Women,36,11.880842636984312,Secondary,300,237.61685273968624,100,684.5354452321549
Men,41,9.161135590354222,Secondary,300,183.22271180708444,100,607.4665880554126
Men,50,15.313572272313412,Tertiary,300,306.2714454462682,300,910.3557692250446
Women,32,9.733347600373492,Secondary,300,194.66695200746983,100,564.7118438771192
Women,43,6.3637648300407665,Primary,300,127.27529660081532,100,512.715854666137
Men,36,6.33251843354045,Primary,300,126.650368670809,100,548.1559323148167
Men,35,9.252084788156909,Secondary,300,185.04169576313816,100,492.5772839703499
Men,32,9.497541256088352,Secondary,300,189.95082512176705,100,587.1327083891575
Women,37,10.078070362914683,Secondary,300,201.56140725829368,100,621.1397235028659
Women,25,9.250641270917383,Secondary,300,185.01282541834766,100,594.9861534245448
Men,29,5.066488404519349,Primary,300,101.32976809038698,100,510.7117589492535
Men,32,17.284099605407192,Tertiary,300,345.68199210814385,300,936.967249163357
Men,43,8.997708441865274,Secondary,300,179.95416883730547,100,633.2709881508583
Women,28,3.11416610726837,Primary,300,62.28332214536741,100,347.990746555487
Women,48,8.887411062556595,Secondary,300,177.7482212511319,100,647.9530173908811
Women,31,13.650327470676597,Secondary,300,273.00654941353196,100,720.4983619428433
Women,36,10.719438607202159,Secondary,300,214.38877214404317,100,552.1101624823374
Men,36,13.998698484190925,Secondary,300,279.9739696838185,100,787.9294413139672
Men,52,17.81508162587925,Tertiary,300,356.30163251758506,300,918.2035898503276
Women,49,9.782396776186774,Secondary,300,195.64793552373547,100,609.8831990252359
Men,41,16.776544007613964,Tertiary,300,335.5308801522793,300,907.0009125058045
Women,36,12.536789072167343,Secondary,300,250.73578144334687,100,748.5860837976365
